Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,ObjectYear
2012.461,False,False,True,78196,,Asian Art,2012.0,Tangka,,Tibet,nan,,,,,,,nan,,,,nan,,,,,,1573–1619,1573,1619,Distemper on cloth,Image: 27 3/8 × 18 1/2 in. (69.5 × 47 cm),"Zimmerman Family Collection, Purchase, Lila Acheson Wallace Gift, 2012",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78196,https://www.wikidata.org/wiki/Q78656970,,"Metropolitan Museum of Art, New York, NY",Buddhism|Buddha|Shakyamuni|Elephants|Horses|Rabbits|Tigers,http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/aat/300262950|http://vocab.getty.edu/page/ia/901000851|http://vocab.getty.edu/page/aat/300250160|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300250218|http://vocab.getty.edu/page/aat/300249063,https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q7055|https://www.wikidata.org/wiki/Q9441|https://www.wikidata.org/wiki/Q7378|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q9394|https://www.wikidata.org/wiki/Q19939,1573.0
2012.462,True,False,True,78197,252,Asian Art,2012.0,Tangka,,"Nepal, Kathmandu Valley",Early Malla period,,,,1976,Artist, ,Kitaharasa, , ,Kitaharasa, ,          ,          ,,,,likely 1379,1379,1379,Distemper on cotton,Image: 32 5/8 × 21 1/2 in. (82.9 × 54.6 cm),"Zimmerman Family Collection, Purchase, The Vincent Astor Foundation and Friends of Asian Art Gifts, 2012",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78197,https://www.wikidata.org/wiki/Q78656760,,"Metropolitan Museum of Art, New York, NY",Deities,http://vocab.getty.edu/page/aat/300343850,https://www.wikidata.org/wiki/Q178885,1379.0
2012.349,False,False,False,78198,249,Asian Art,2012.0,Sculpture,,Cambodia,nan,,,,1976,Artist, ,Sopheap Pich,"born Battambang, Cambodia 1971", ,"Pich, Sopheap",Cambodian,1971      ,9999      ,,,https://www.wikidata.org/wiki/Q3490807,2009,2009,2009,"Rattan, wire, dye",H. 100 in. (254 cm); W. 29 in. (73.7 cm); D. 9 in. (22.9 cm),"Purchase, Friends of Asian Art Gifts, 2012",,nan,,,nan,nan,,,,,,Sculpture,© Sopheap Pich,http://www.metmuseum.org/art/collection/search/78198,https://www.wikidata.org/wiki/Q116397096,,"Metropolitan Museum of Art, New York, NY",Buddha,http://vocab.getty.edu/page/aat/300262950,https://www.wikidata.org/wiki/Q7055,2009.0
"2013.21.1, .2",False,False,True,78221,,Asian Art,2013.0,Screens,叭々鳥図屏風|Mynah Birds,Japan,Momoyama (1573–1615) or Edo (1615–1868) period,,,,3750,Artist, ,Unidentified artist, ,Japanese,Unidentified artist, ,          ,          ,,,,early 17th century,1601,1633,"Pair of six-panel folding screens; ink, color, and gold on paper",Image (each): 61 in. × 11 ft. 10 1/8 in. (155 × 361 cm),"Purchase, Miriam and Ira D. Wallach Foundation and Anonymous Gifts, 2013
",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78221,,,"Metropolitan Museum of Art, New York, NY",Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,
2019.419.3,False,False,True,78227,,Asian Art,2019.0,Hanging scroll,森狙仙筆　烏骨鶏図|Silkies,Japan,Edo period (1615–1868),,,,1208,Artist, ,Mori Sosen,"Japanese, 1747–1821", ,Mori Sosen,Japanese,1747      ,1821      ,,http://vocab.getty.edu/page/ulan/500123380,https://www.wikidata.org/wiki/Q3324063,before 1807,1747,1806,Hanging scroll; ink and color on silk,"Image: 33 3/4 x 51 in. (85.7 x 129.5 cm)
Overall with mounting: 72 5/8 x 60 1/16 in. (184.5 x 152.5 cm)
Overall with knobs: 63 9/16 in. (161.5 cm)","Fishbein-Bender Collection, Gift of T. Richard Fishbein and Estelle P. Bender, in celebration of the Museum’s 150th Anniversary, 2019",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78227,,,"Metropolitan Museum of Art, New York, NY",Chickens,http://vocab.getty.edu/page/aat/300250037,https://www.wikidata.org/wiki/Q780,1807.0
2020.391,False,False,True,78283,,Asian Art,2020.0,Hanging scroll,星曼荼羅図 (Hoshi mandara zu)|Star Mandala,Japan,Kamakura period (1185–1333)–Nanbokuchō period (1336–92),,,,,,,nan,,,,nan,,,,,,13th–14th century,1200,1399,"Hanging scroll; ink, color, gold, and cut gold on silk","Image: 50 1/2 × 46 1/4 in. (128.3 × 117.5 cm)
Overall with mounting: 80 1/4 × 51 in. (203.8 × 129.5 cm)
Overall with knobs: 80 1/4 × 52 3/4 in. (203.8 × 134 cm)","Gift of Sue Cassidy Clark, in honor of Bernard Faure, 2020",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78283,,,"Metropolitan Museum of Art, New York, NY",Buddha|Buddhism,http://vocab.getty.edu/page/aat/300262950|http://vocab.getty.edu/page/aat/300073738,https://www.wikidata.org/wiki/Q7055|https://www.wikidata.org/wiki/Q748,
"2013.29a, b",False,False,True,78286,,Asian Art,2013.0,Hanging scrolls,작자미상 소나무 아래 사슴   조선|作者未詳 松下雙鹿圖   朝鮮|Deer amid Pine Trees,Korea,Joseon dynasty (1392–1910),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,19th century,1800,1899,Pair of hanging scrolls; ink and color on silk,"Image (each scroll): 50 3/4 × 19 1/8 in. (128.9 × 48.6 cm)
Overall with mounting: 83 1/4 × 25 in. (211.5 × 63.5 cm)
Overall with knobs: 83 1/4 × 27 1/4 in. (211.5 × 69.2 cm)","Purchase, Friends of Asian Art Gifts, 2013",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78286,https://www.wikidata.org/wiki/Q78656562,,"Metropolitan Museum of Art, New York, NY",Deer|Trees,http://vocab.getty.edu/page/aat/300250308|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q685795|https://www.wikidata.org/wiki/Q10884,
2013.247a–h,False,False,True,78429,,Asian Art,2013.0,Figure,,Cambodia (probably Phnom Penh),nan,,,,,,,nan,,,,nan,,,,,,"1923, by inscription",1923,1923,"Silver, gold, and unfired clay",H. 16 1/2 in. (41.9 cm); W. 7 1/8 in. (18.1 cm); D. 5 in. (12.7 cm),"Purchase, Anonymous Gift, 2013",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/78429,,,"Metropolitan Museum of Art, New York, NY",Buddhism|Buddha,http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/aat/300262950,https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q7055,1923.0
2013.249,False,False,True,78430,237,Asian Art,2013.0,Mask,,"India (Jammu and Kashmir, ancient kingdom of Kashmir)",nan,,,,,,,nan,,,,nan,,,,,,late 6th–7th century,567,699,"Copper alloy, possibly brass",H. 7 5/8 in. (19.4 cm); W. 5 1/4 in. (13.3 cm); D. 2 3/8 in. (6 cm),"Purchase, Bobbie Falk Gift, in honor of Robert Falk, 2013",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/78430,https://www.wikidata.org/wiki/Q116374169,,"Metropolitan Museum of Art, New York, NY",Masks|Kashmir,http://vocab.getty.edu/page/aat/300262834|http://vocab.getty.edu/page/aat/300018817,https://www.wikidata.org/wiki/Q161524| ,
2013.167,False,False,True,78434,219,Asian Art,2013.0,Figure,"清早期  壽山石雕捧桃羅漢|Buddhist disciple, or luohan, holding a peach",China,Qing dynasty (1644–1911),,,,,,,nan,,,,nan,,,,,,17th century,1600,1699,Soapstone,"H. 4 1/4 in. (10.8 cm); W. 3 3/8 in. (8.6 cm); D. 2 1/2 in. (6.4 cm)
","Purchase, Friends of Asian Art Gifts, 2013",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/78434,https://www.wikidata.org/wiki/Q116374167,,"Metropolitan Museum of Art, New York, NY",Peaches|Men|Buddhism,http://vocab.getty.edu/page/aat/300266272|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300073738,https://www.wikidata.org/wiki/Q13202263|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q748,
2013.462,False,False,False,78435,,Asian Art,2013.0,Painting,永遠的路|Distant Road,Japan,Shōwa period (1926–89),,,,1990,Artist, ,Minol Araki 荒木實,"Japanese, Dalian, China 1928–2010 Tokyo", , ,Japanese,1928      ,2010      ,,(not assigned),https://www.wikidata.org/wiki/Q49010462,1978,1978,1978,Framed panel; ink on paper,Image: 36 1/4 × 73 5/8 in. (92 × 187 cm),"Gift of David Tausig Frank and Kazukuni Sugiyama, 2013",,nan,,,nan,nan,,,,,,Paintings,© Minol Araki,http://www.metmuseum.org/art/collection/search/78435,,,"Metropolitan Museum of Art, New York, NY",Roads|Landscapes,http://vocab.getty.edu/page/aat/300008217|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q34442|https://www.wikidata.org/wiki/Q191163,1978.0
2013.232,False,False,False,78452,,Asian Art,2013.0,Screen,우현 송영방 연꽃과   잉어|牛玄 宋榮邦   蓮鯉圖|Lotus and Carp,Korea,nan,,,,1991,Artist, ,Song Yeong-bang,"Korean, born Hwaseong, 1936", ,Song Yeong-bang,Korean,1936      ,9999      ,,,,1990,1990,1990,Eight-panel folding screen; ink and light color on paper,"Image: 24 in. × 9 ft. 4 1/2 in. (61 × 285.8 cm)
full mounted: 49 1/2 in. × 9 ft. 11 1/4 in. (125.7 × 302.9 cm)
each panel: 49 1/2 × 14 1/4 in. (125.7 × 36.2 cm)","Purchase, Jungwhe Josephine Moon and Hyun Jun M. Kim Gifts, 2013",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78452,,,"Metropolitan Museum of Art, New York, NY",Fish|Lotuses,http://vocab.getty.edu/page/aat/300266085|http://vocab.getty.edu/page/aat/300375570,https://www.wikidata.org/wiki/Q152|https://www.wikidata.org/wiki/Q3645698,1990.0
2013.500,False,False,True,78569,,Asian Art,2013.0,Hanging scroll,娘義太夫|Female Chanter for Jōruri Puppet Theater,Japan,Taishō period (1912–26),,,,1999,Artist, ,Arai Kōu,"Japanese, active early 20th century", ,Arai Kōu,Japanese,          ,          ,Female,,,ca. 1920,1912,1926,"Hanging scroll; ink, color, and gold on silk","Image: 75 1/2 × 42 1/2 in. (191.8 × 108 cm)
Overall with mounting: 116 1/4 × 51 5/8 in. (295.3 × 131.1 cm)
Overall with knobs: 116 1/4 × 55 5/8 in. (295.3 × 141.3 cm)","Purchase, Friends of Asian Art Gifts, 2013",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78569,https://www.wikidata.org/wiki/Q78656330,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Women|Puppets,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300138750,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q1913135,1920.0
"2013.981a, b",True,False,True,78873,,Asian Art,2013.0,Casket panels,,India (Tamil Nadu),nan,,,,,,,nan,,,,nan,,,,,,late 17th–early 18th century,1667,1733,Ivory backed with gilded paper,5 11/16 × 8 in. (14.4 × 20.3 cm),"Purchase, Friends of Asian Art Gifts, 2013",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/78873,,,"Metropolitan Museum of Art, New York, NY",Couples|Men|Women,http://vocab.getty.edu/page/aat/300379217|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q219160|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467,
2014.60,False,False,True,78910,236,Asian Art,2014.0,Figure,,India (Himachal Pradesh),nan,,,,,,,nan,,,,nan,,,,,,7th century,600,699,Brass,H. 10 3/4 in. (27.3 cm); W. 8 in. (20.3 cm); D. 4 1/4 in. (10.8 cm),"Purchase, Brooke Russell Astor Bequest, Robert and Bobbie Falk Philanthropic Fund Gift, Seymour Fund, Josephine Lois Berger-Nadler Endowment Fund, Elizabeth M. Riley Bequest, in memory of Jean Mailey, funds from various donors; and David E. Stutzman and John D. Lamb, Shelby White, and Jeff Soref Gifts, 2014",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/78910,https://www.wikidata.org/wiki/Q116374168,,"Metropolitan Museum of Art, New York, NY",Goddess|Hinduism,http://vocab.getty.edu/page/aat/300343852|http://vocab.getty.edu/page/aat/300073727,https://www.wikidata.org/wiki/Q205985|https://www.wikidata.org/wiki/Q9089,
1986.185,False,False,False,141404,,Modern and Contemporary Art,1986.0,Painting,Berthe David-Weill,Spanish,nan,,,,16180,Artist, ,Salvador Dalí,"Spanish, Figueres 1904–1989 Figueres", ,"Dalí, Salvador",Spanish,1904      ,1989      ,,http://vocab.getty.edu/page/ulan/500009365,https://www.wikidata.org/wiki/Q5577,1952,1952,1952,Oil on canvas,40 x 24 in. (101.6 x 61 cm),"Bequest of Berthe David-Weill, 1986",,nan,,,nan,nan,,,,,,Paintings,"© 2023 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/141404,https://www.wikidata.org/wiki/Q19921222,,"Metropolitan Museum of Art, New York, NY",Portraits|Women,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467,1952.0
72.4,False,False,True,185835,,European Sculpture and Decorative Arts,1872.0,Statue,Dancing Girl,"German, Munich",nan,,,,3434,Artist, ,Ludwig Michael von Schwanthaler,"German, Munich 1802–1848 Munich", ,"Schwanthaler, Ludwig Michael von",German,1802      ,1848      ,,http://vocab.getty.edu/page/ulan/500014491,https://www.wikidata.org/wiki/Q448426,cast 1854,1854,1854,Bronze,Overall: 87 × 35 × 26 in. (221 × 88.9 × 66 cm),"Gift of Griffith Rowe, 1872",,nan,,,nan,nan,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/185835,,,"Metropolitan Museum of Art, New York, NY",Girls|Dancing|Female Nudes,http://vocab.getty.edu/page/aat/300247581|http://vocab.getty.edu/page/aat/300389779|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q3031|https://www.wikidata.org/wiki/Q43393537|https://www.wikidata.org/wiki/Q40446,1854.0
80.3.682,False,False,True,185933,,European Sculpture and Decorative Arts,1880.0,Painting,Classical design,"Italian, Umbria",nan,,,,16193,Artist,Attributed to,Giovanni da Udine (Giovanni dei Ricamatori),"Italian, Udine 1487–1564 Rome", ,Giovanni da Udine (Giovanni dei Ricamatori),Italian,1487      ,1564      ,,http://vocab.getty.edu/page/ulan/500004700,https://www.wikidata.org/wiki/Q983350,15th–16th century,1400,1599,"Oil on wood, chiaroscuro",Overall: 4 1/8 × 46 5/8 in. (10.5 × 118.4 cm),"Gift of Cornelius Vanderbilt, 1880",,nan,,,nan,nan,,,,,,Paintings-Decorative,,http://www.metmuseum.org/art/collection/search/185933,https://www.wikidata.org/wiki/Q78655796,,"Metropolitan Museum of Art, New York, NY",Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779,
80.3.683,False,False,True,185934,,European Sculpture and Decorative Arts,1880.0,Painting,Classical design,"Italian, Umbria",nan,,,,16193,Artist,Attributed to,Giovanni da Udine (Giovanni dei Ricamatori),"Italian, Udine 1487–1564 Rome", ,Giovanni da Udine (Giovanni dei Ricamatori),Italian,1487      ,1564      ,,http://vocab.getty.edu/page/ulan/500004700,https://www.wikidata.org/wiki/Q983350,15th–16th century,1400,1599,"Oil on wood, chiaroscuro",Overall: 4 1/8 × 45 in. (10.5 × 114.3 cm),"Gift of Cornelius Vanderbilt, 1880",,nan,,,nan,nan,,,,,,Paintings-Decorative,,http://www.metmuseum.org/art/collection/search/185934,https://www.wikidata.org/wiki/Q78655558,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,
81.1.13,False,False,True,185942,,European Sculpture and Decorative Arts,1881.0,Snuffbox,Venus Rising from the Sea,European,nan,,,,,,,nan,,,,nan,,,,,,19th century,1800,1899,Disc: ivory; box: tortoiseshell,Diameter: 3 1/2 in. (8.9 cm),"Bequest of Stephen Whitney Phoenix, 1881",,nan,,,nan,nan,,,,,,Sculpture-Miniature,,http://www.metmuseum.org/art/collection/search/185942,,,"Metropolitan Museum of Art, New York, NY",Venus|Fish|Sun|Putti,http://vocab.getty.edu/page/ia/901001064|http://vocab.getty.edu/page/aat/300266085|http://vocab.getty.edu/page/aat/300379806|http://vocab.getty.edu/page/aat/300250465,https://www.wikidata.org/wiki/Q47652|https://www.wikidata.org/wiki/Q152|https://www.wikidata.org/wiki/Q525|https://www.wikidata.org/wiki/Q284865,
82.2,False,False,True,186233,,European Sculpture and Decorative Arts,1882.0,Portrait medallion,Michelangelo,German,nan,,,,3368,Artist, ,Friedrich Beer,1846–ca. 1912, ,Beer Friedrich, ,1846      ,1912      ,,,,19th century,1800,1899,Bronze,5 1/4 × 27 1/2 in. (13.3 × 69.9 cm),"Gift of Dr. Joseph Weiner, 1882",,nan,,,nan,nan,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/186233,,,"Metropolitan Museum of Art, New York, NY",Men|Profiles,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010,
82.4,False,False,True,186236,,European Sculpture and Decorative Arts,1882.0,Altarpiece,The Assumption of the Virgin,"Italian, Florence",nan,,,,3341,Artist,Workshop of,Andrea della Robbia,"Italian, 1435–1525", ,"Robbia, Andrea della",Italian,1435      ,1525      ,,http://vocab.getty.edu/page/ulan/500030958,https://www.wikidata.org/wiki/Q195655,late 15th–early 16th century,1485,1515,Glazed terracotta,118 1/2 × 88 in. (301 × 223.5 cm),"Gift of Henry G. Marquand, 1882",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/186236,,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Angels|Virgin Mary,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q345,
84.8.1,False,False,True,186697,,European Sculpture and Decorative Arts,1884.0,Bust,Alexander I of Russia,Italian,nan,,,,3430,Artist, ,Lorenzo Bartolini,"Italian, 1777–1850", ,"Bartolini, Lorenzo",Italian,1777      ,1850      ,,http://vocab.getty.edu/page/ulan/500002243,https://www.wikidata.org/wiki/Q693288,19th century,1800,1899,Marble,H. 27-3/4 in. (70.5 cm),"Gift of Mrs. John Falconer, 1884",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/186697,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307,
85.3,False,False,True,186832,548,European Sculpture and Decorative Arts,1885.0,Statuette group,Theseus Fighting the Centaur Bianor,"French, Paris",nan,,,,16165,Artist, ,Antoine-Louis Barye,"French, Paris 1795–1875 Paris", ,"Barye, Antoine-Louis",French,1795      ,1875      ,,http://vocab.getty.edu/page/ulan/500007044,https://www.wikidata.org/wiki/Q451489,"modeled 1849, cast ca. 1867",1849,1872,Bronze,"confirmed: 49 3/4 × 45 1/4 × 20 3/4 in., 316 lb. (126.4 × 114.9 × 52.7 cm, 143.3 kg)","Gift of Samuel P. Avery, 1885",,nan,,,nan,nan,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/186832,https://www.wikidata.org/wiki/Q116311609,,"Metropolitan Museum of Art, New York, NY",Battles|Theseus|Centaurs,http://vocab.getty.edu/page/aat/300185692|http://vocab.getty.edu/page/ia/901001063|http://vocab.getty.edu/page/aat/300379740,https://www.wikidata.org/wiki/Q178561|https://www.wikidata.org/wiki/Q1320718|https://www.wikidata.org/wiki/Q83203,1849.0
85.6,False,False,True,186833,,European Sculpture and Decorative Arts,1885.0,Crucifix,Crucifix,Spanish,nan,,,,,,,nan,,,,nan,,,,,,17th century,1600,1699,Figure: ivory; cross: ebony; scroll: brass (?),Overall: 23 1/2 × 11 in. (59.7 × 27.9 cm),"Gift of Mrs. Francis H. Washburn, 1885",,nan,,,nan,nan,,,,,,Sculpture-Miniature,,http://www.metmuseum.org/art/collection/search/186833,,,"Metropolitan Museum of Art, New York, NY",Jesus|Crucifixion,http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300404300,https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q3235597,
86.3,False,False,True,186834,,European Sculpture and Decorative Arts,1886.0,Bust,Queen Victoria,British,nan,,,,3437,Artist, ,Mary Grant,"British, Kilgraston 1831–1898 London", ,"Grant, Mary",British,1831      ,1898      ,Female,(not assigned),https://www.wikidata.org/wiki/Q17421643,19th century,1800,1899,Marble,Overall (on-site dimensions): 38 × 28 × 18 in. (96.5 × 71.1 × 45.7 cm),"Gift of Robert Gordon, 1886",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/186834,https://www.wikidata.org/wiki/Q96181436,,"Metropolitan Museum of Art, New York, NY",Women|Queen Victoria|Portraits,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ulan/500022428|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q9439|https://www.wikidata.org/wiki/Q134307,
87.7,False,False,True,186838,,European Sculpture and Decorative Arts,1887.0,Statue,The Veiled Woman,Italian,nan,,,,3458,Artist, ,Rafaello Monti,1818–1881, ,Monti Rafaello (Raffaele), ,1818      ,1881      ,,,,1854,1854,1854,Marble,"H. 75 in. (190.5 cm.)
Base, ca. 26 x 22 in. (66 x 55.9 cm.)","Gift of Mrs. Brinkman, 1887",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/186838,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,1854.0
87.31,False,False,True,187137,,European Sculpture and Decorative Arts,1887.0,Bust,Charles Darwin,"German, Munich",nan,,,,3422,Artist, ,Joseph Echteler,1853–1908, ,ECHTELER JOSEPH, ,1853      ,1908      ,,(not assigned),https://www.wikidata.org/wiki/Q1445875,1883–84,1883,1884,"Plaster, painted to imitate terracotta; pedestal, painted black",Height: 29 in. (73.7 cm),"Gift of Joseph Echteler, 1887",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/187137,,,"Metropolitan Museum of Art, New York, NY",Portraits,http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q134307,1883.0
88.3.92,False,False,True,187156,,European Sculpture and Decorative Arts,1888.0,Medallion,Lady of the period of Henry III,French,nan,,,,,,,nan,,,,nan,,,,,,19th century,1800,1899,Wax,Diameter (framed): 3 7/8 in. (9.8 cm),"Gift of Coudert Brothers, 1888",,nan,,,nan,nan,,,,,,Sculpture-Miniature,,http://www.metmuseum.org/art/collection/search/187156,,,"Metropolitan Museum of Art, New York, NY",Profiles|Women,http://vocab.getty.edu/page/aat/300123319|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q4382010|https://www.wikidata.org/wiki/Q467,
89.6,False,False,True,187216,,European Sculpture and Decorative Arts,1889.0,Bust,It is Finished,British,nan,,,,3460,Artist, ,Lord Ronald Sutherland Gower,"British, London 1845–1916", ,"Gower, Ronald Sutherland, Lord",British,1845      ,1916      ,,http://vocab.getty.edu/page/ulan/500026269,https://www.wikidata.org/wiki/Q1242682,1875,1875,1875,Marble,Height: 21 1/2 in. (54.6 cm),"Gift of Lord Ronald Gower, 1889",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/187216,,,"Metropolitan Museum of Art, New York, NY",Jesus,http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q302,1875.0
89.26a–c,False,False,True,187220,,European Sculpture and Decorative Arts,1889.0,Crucifix,Crucifix,Italian,nan,,,,,,,nan,,,,nan,,,,,,18th century,1700,1799,"Figure and scroll: ivory; cross: wood, painted black; nails: iron","Overall (figure only, .26a): 9 × 7 1/2 in. (22.9 × 19.1 cm);
Overall (scroll, .26b): 1 5/8 × 1 in. (4.1 × 2.5 cm);
Overall (cross, .26c): 20 3/4 × 9 1/2 in. (52.7 × 24.1 cm)","Gift of Mrs. Estelle Jourdan, 1889",,nan,,,nan,nan,,,,,,Sculpture-Miniature,,http://www.metmuseum.org/art/collection/search/187220,,,"Metropolitan Museum of Art, New York, NY",Jesus|Crucifixion,http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300404300,https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q3235597,
90.3.2,False,False,True,187222,,European Sculpture and Decorative Arts,1890.0,Relief,Battle of Crusaders and Saracens,German,nan,,,,,,,nan,,,,nan,,,,,,late 16th century,1585,1599,Wood,18 1/8 × 15 1/2 in. (46 × 39.4 cm),"Bequest of Mrs. A.M. Minturn, 1890",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/187222,,,"Metropolitan Museum of Art, New York, NY",Battles|Soldiers|Men|Horses,http://vocab.getty.edu/page/aat/300185692|http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q178561|https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726,
90.3.3,False,False,True,187223,,European Sculpture and Decorative Arts,1890.0,Statuette,Christ Bound to the Column,Spanish,nan,,,,,,,nan,,,,nan,,,,,,early 17th century,1600,1615,Wood and ivory,Overall: 11 3/4 × 6 1/2 in. (29.8 × 16.5 cm),"Gift of Mrs. A. M. Minturn, 1890",,nan,,,nan,nan,,,,,,Sculpture-Miniature,,http://www.metmuseum.org/art/collection/search/187223,,,"Metropolitan Museum of Art, New York, NY",Christ|Columns,http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300001571,https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q4817,
