Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,ObjectYear
29.158.770,False,False,True,34032,,Arms and Armor,1929.0,Woodcarving,Saint George and the Dragon,"Austrian, Vienna",nan,,,,,,,nan,,,,nan,,,,,,ca. 1330,1305,1355,"Wood, gesso, polychromy, gold",23 x 10 1/4 x 6 5/16 in. (58.4 x 26 x 16.1 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Vienna,,,nan,nan,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/34032,,,"Metropolitan Museum of Art, New York, NY",Dragons|Saint George,http://vocab.getty.edu/page/aat/300375726|http://vocab.getty.edu/page/ia/901000509,https://www.wikidata.org/wiki/Q7559|https://www.wikidata.org/wiki/Q48438,1330.0
2009.224,False,True,True,35155,374,Arms and Armor,2009.0,Painting,"Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli",Italian,nan,,,,,,,nan,,,,nan,,,,,,ca. 1580–85,1555,1610,Oil on copper,5 1/2 x 4 in. (14 x 10.2 cm); frame: 7 1/8 x 4 7/8 in. (18.1 x 12.5 cm),"Purchase, Arthur Ochs Sulzberger Gift, 2009",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35155,https://www.wikidata.org/wiki/Q56042443,,"Metropolitan Museum of Art, New York, NY",Armor|Men|Portraits,http://vocab.getty.edu/page/aat/300226591|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q20793164|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307,1580.0
22.150,False,False,True,35654,,Arms and Armor,1922.0,Portrait,"Cosimo II de' Medici (1590–1621), Grand Duke of Tuscany",Flemish,nan,,,,16249,Artist,Workshop of,Justus Sustermans,"Flemish, Antwerp 1597–1681 Florence", ,"Sustermans, Justus",Flemish,1597      ,1681      ,,http://vocab.getty.edu/page/ulan/500022236,https://www.wikidata.org/wiki/Q974195,1597–1681,1597,1681,"Oil on canvas, transferred from wood",78 x 48 in. (198.1 x 121.9 cm),"Gift of Bashford Dean, 1922",,nan,,,nan,nan,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/35654,,,"Metropolitan Museum of Art, New York, NY",Portraits|Helmets|Men,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300036794|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q173603|https://www.wikidata.org/wiki/Q8441,1597.0
29.158.750,False,False,True,35655,,Arms and Armor,1929.0,Painting,"Luigi III, Prince of Venosa","Italian, Naples",nan,,,,,,,nan,,,,nan,,,,,,second quarter 17th century,1625,1650,Oil on canvas,80 1/2 x 48 in. (204.4 x 121.9 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Naples,,,nan,nan,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/35655,https://www.wikidata.org/wiki/Q79003859,,"Metropolitan Museum of Art, New York, NY",Portraits|Horses|Armor|Men,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300226591|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q20793164|https://www.wikidata.org/wiki/Q8441,
09.3,False,False,True,35968,,Asian Art,1909.0,Pictorial map,清  佚名  台南地區荷蘭城堡|Forts Zeelandia and Provintia and the City of Tainan,China,nan,,,,3750,Artist, ,Unidentified artist,"Chinese, active 19th century", ,Unidentified artist, ,          ,          ,,,,19th century,1800,1899,Wall hanging; ink and color on deerskin,"Image: 59 1/4 × 80 3/4 in. (150.5 × 205.1 cm)
Overall with decorative borders: 68 5/8 × 90 1/4 in. (174.3 × 229.2 cm)","Gift of J. Pierpont Morgan, 1909",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35968,https://www.wikidata.org/wiki/Q79003782,,"Metropolitan Museum of Art, New York, NY",Maps|Houses|Cities|Boats|Ships,http://vocab.getty.edu/page/aat/300028094|http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300008389|http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300082981,https://www.wikidata.org/wiki/Q4006|https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q515|https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q11446,
13.100.22,False,False,True,35970,,Asian Art,1913.0,Hanging scroll,明   丁雲鵬   潯陽送客圖   軸|Song of the Lute,China,late Ming dynasty (1368–1644),,,,1206,Artist, ,Ding Yunpeng,"Chinese, 1547–ca. 1628", ,Ding Yunpeng,Chinese,1547      ,1628      ,,http://vocab.getty.edu/page/ulan/500125747,https://www.wikidata.org/wiki/Q376079,1585,1585,1585,Hanging scroll; ink and color on paper,Image: 55 5/8 x 18 1/8 in. (141.3 x 46 cm),"John Stewart Kennedy Fund, 1913",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35970,https://www.wikidata.org/wiki/Q79003726,,"Metropolitan Museum of Art, New York, NY",Mountains|Trees|Boats,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q35872,1585.0
13.100.25,False,False,True,35971,,Asian Art,1913.0,Hanging scroll,清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,China,Qing dynasty (1644–1911),,,,116363750,Artist|Artist,After| ,Wang Hui|Unidentified artist,"Chinese, 1632–1717| ", | ,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,|,http://vocab.getty.edu/page/ulan/500327902|,https://www.wikidata.org/wiki/Q716222|,"18th century or later, spurious date of 1680",1700,1911,Hanging scroll; ink on silk,14 1/2 x 11 1/8 in. (36.8 x 28.3 cm),"John Stewart Kennedy Fund, 1913",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35971,https://www.wikidata.org/wiki/Q79003601,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163,1680.0
13.100.40,False,False,True,35972,,Asian Art,1913.0,Folding fan mounted as an album leaf,清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts,China,Qing dynasty (1644–1911),,,,116363750,Artist|Artist,After| ,Wang Hui|Unidentified artist,"Chinese, 1632–1717| ", | ,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,|,http://vocab.getty.edu/page/ulan/500327902|,https://www.wikidata.org/wiki/Q716222|,"18th century or later, spurious date of 1706",1700,1911,Folding fan mounted as an album leaf; ink and color on paper,6 3/4 x 20 in. (17.1 x 50.8 cm),"John Stewart Kennedy Fund, 1913",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35972,https://www.wikidata.org/wiki/Q79003460,,"Metropolitan Museum of Art, New York, NY",Boats|Houses|Landscapes,http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q191163,1706.0
13.100.42,False,False,True,35973,,Asian Art,1913.0,Folding fan mounted as an album leaf,清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong,China,Qing dynasty (1644–1911),,,,116453750,Artist|Artist,After| ,Wang Jian|Unidentified artist,"Chinese, 1609–1677/88| ", | ,Wang Jian|Unidentified artist,Chinese| ,1609      |          ,1677      |          ,|,|,https://www.wikidata.org/wiki/Q711481|,"18th century or later, spurious date of 1676",1700,1911,Folding fan mounted as an album leaf; ink and color on paper,6 3/8 x 20 1/2 in. (16.2 x 52.1 cm),"John Stewart Kennedy Fund, 1913",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35973,https://www.wikidata.org/wiki/Q79003341,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163,1676.0
13.100.43,False,False,True,35974,,Asian Art,1913.0,Folding fan mounted as an album leaf,清   倣王時敏  山水  扇面|Landscape,China,Qing dynasty (1644–1911),,,,117003750,Artist|Artist,After| ,Wang Shimin|Unidentified artist,"Chinese, 1592–1680| ", | ,WANG SHIMIN|Unidentified artist,Chinese| ,1592      |          ,1680      |          ,|,http://vocab.getty.edu/page/ulan/500331779|,https://www.wikidata.org/wiki/Q716184|,"18th century or later, spurious date of 1648",1700,1911,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 1/2 in. (16.5 x 52.1 cm),"John Stewart Kennedy Fund, 1913",,nan,,,nan,nan,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35974,https://www.wikidata.org/wiki/Q79003197,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163,1648.0
